fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold3,5,0.5,0.8,delta-blend@k5_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.5,0.8,delta-blend@k5_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.5,0.8,delta-blend@k5_b05,late,56,134.55799865722656,172.6868438720703,34.2600212097168,34.399879455566406,34.2600212097168,0.0
fold3,5,0.7,0.8,delta-blend@k5_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.7,0.8,delta-blend@k5_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.7,0.8,delta-blend@k5_b07,late,56,134.55799865722656,172.6868438720703,35.12907791137695,35.36626434326172,35.12907791137695,0.0
fold3,10,,0.8,delta-knn-only@k10,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,,0.8,delta-knn-only@k10,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,10,,0.8,delta-knn-only@k10,late,56,134.55799865722656,172.6868438720703,36.53430938720703,36.95991516113281,36.53430938720703,0.0
fold3,10,0.3,0.8,delta-blend@k10_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,0.3,0.8,delta-blend@k10_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
